id_hecho,tipo_hecho,provincia_nombre,departamento_nombre,fecha_hecho,hora_hecho,cant_inculpados,cant_victimas,tipo_lugar,tipo_lugar_otro,tipo_lugar_ampliado,clase_arma,clase_arma_otro,en_ocasion_otro_delito,en_ocasion_otro_delito_otro,victima_sexo,victima_identidad_genero,victima_identidad_genero_otro,victima_clase,victima_clase_otro,victima_situacion_ocupacional,victima_situacion_ocupacional_otro,victima_relacion,victima_edad,inculpado_sexo,inculpado_identidad_genero,inculpado_edad,inculpado_clase,inculpado_relacion
7580,HD F Cis Trans Travesti-Femicidio,Entre Ríos,Paraná,1/3/2020,10:30:00,1,1,Otro lugar,,Otro lugar,Ahorcamiento / asfixia,,No,,F,F,-----------,C,-------,SD,---------,Conyuge/ pareja,25-29,M,M,30-34,C,Conyuge/ pareja
7581,HD F Cis Trans Travesti-Femicidio,Entre Ríos,Paraná,30/4/2020,3:00:00,1,1,Domicilio particular,,Domicilio particular,Precipitación al vacío,,No,,F,F,-----------,C,-------,SD,---------,Conyuge/ pareja,20-24,M,M,30-34,C,Conyuge/ pareja
7582,HD M,Mendoza,Luján de Cuyo,17/1/2021,19:44:00,1,1,Vía pública,,Vía pública,Arma blanca,,No,,M,M,-----------,C,-------,SD,---------,Padre/Madre,35-39,M,M,40-44,C,Hijo/a
7583,HD F Cis Trans Travesti-Femicidio,Neuquén,Confluencia,14/1/2021,11:45:00,1,1,Domicilio particular,,Domicilio particular,Objeto contundente,Botella,SD,,F,F,-----------,C,-------,Desocupado,---------,Otras relaciones no familiares,40-44,M,M,20-24,C,Otras relaciones no familiares
7584,HD M,Neuquén,Confluencia,7/1/2021,11:13:00,1,1,Vía pública,,Vía pública,Arma de fuego,,No,,M,M,-----------,C,-------,Empleado de otros sectores,---------,Otras relaciones no familiares,30-34,M,M,20-24,C,Otras relaciones no familiares
7585,HD M,La Pampa,Norte (General Pico),15/3/2020,4:30:00,1,1,Domicilio particular,,Domicilio particular,Arma blanca,,Sí robo,,M,M,-----------,C,-------,Trabajador cuenta propia,Odontólogo,No,50-54,M,M,15-19,C,No
7586,HD M,Neuquén,Confluencia,1/1/2021,3:30:00,1,1,Domicilio particular,,Domicilio particular,SD,,No,,M,M,-----------,C,-------,Desocupado,---------,Otras relaciones no familiares,20-24,M,M,35-39,SD,Otras relaciones no familiares
7587,HD M,Neuquén,Confluencia,22/1/2021,21:20:00,1,1,Vía pública,,Vía pública,Arma de fuego,,No,,M,M,-----------,C,-------,Desocupado,---------,No,15-19,M,M,20-24,C,No
7588,HD M,Mendoza,Guaymallén,12/12/2020,0:50:00,2,1,Vía pública,,Vía pública,Arma blanca,,No,,M,M,-----------,C,-------,SD,---------,SD,40-44,M,M,30-34,C,SD
7589,HD M,Santa Cruz,Deseado,20/9/2020,16:45:00,1,1,Domicilio particular,,Domicilio particular,Arma blanca,,Si otro delito,Lesiones dolosas,M,M,-----------,C,-------,Trabajador cuenta propia,---------,Conyuge/ pareja,35-39,F,F,45-49,C,Conyuge/ pareja
7590,HD M,San Juan,Caucete,27/11/2020,0:00:00,10,1,Domicilio particular,,Domicilio particular,Golpes,Golpes,Sí robo,,M,M,-----------,C,-------,Empleado de otros sectores,Casero de finca,SD,65-69,M,M,30-34,C,SD
7591,HD M,Formosa,Pilcomayo,4/1/2021,4:20:00,1,1,Domicilio particular,,Domicilio particular,Arma blanca,,Sí robo,,M,M,-----------,C,-------,SD,---------,SD,70-74,M,M,SD,SD,SD
7592,HD M,Misiones,Oberá,6/1/2021,0:00:00,2,1,SD,,SD,SD,,No,,M,M,-----------,C,-------,- Menor,---------,Hijo/a,4 o menos,M,M,30-34,C,Padre/Madre
7593,HD M,Río Negro,Bariloche,4/10/2020,5:10:00,1,1,Domicilio particular,,Domicilio particular,Arma de fuego,,No,,M,M,-----------,C,-------,SD,---------,Otras relaciones no familiares,SD,M,M,35-39,C,Otras relaciones no familiares
7594,HD M,Río Negro,Bariloche,4/10/2020,2:00:00,1,1,Vía pública,,Vía pública,Arma blanca,,No,,M,M,-----------,C,-------,SD,---------,SD,30-34,SD,SD,SD,SD,SD
7595,HD M,Río Negro,General Roca,7/10/2020,5:30:00,1,1,Vía pública,,Vía pública,Arma de fuego,,No,,M,M,-----------,C,-------,SD,---------,SD,25-29,SD,SD,SD,SD,SD
7596,HD M,Río Negro,General Roca,17/10/2020,18:20:00,1,1,Vía pública,,Vía pública,Arma de fuego,,No,,M,M,-----------,C,-------,SD,---------,Otras relaciones no familiares,35-39,M,M,25-29,C,Otras relaciones no familiares
7597,HD M,Río Negro,General Roca,18/10/2020,20:10:00,1,1,Vía pública,,Vía pública,Arma blanca,,No,,M,M,-----------,C,-------,SD,---------,Otras relaciones no familiares,20-24,M,M,SD,C,Otras relaciones no familiares
7598,HD F Cis Trans Travesti-Femicidio,Río Negro,San Antonio,30/10/2020,12:40:00,1,1,Domicilio particular,,Domicilio particular,Arma blanca,,No,,F,F,-----------,C,-------,SD,---------,Conyuge/ pareja,25-29,M,M,35-39,C,Conyuge/ pareja
7599,HD M,Río Negro,Adolfo Alsina,21/11/2020,2:30:00,1,1,Vía pública,,Vía pública,Arma de fuego,,No,,M,M,-----------,C,-------,SD,---------,Otras relaciones no familiares,20-24,M,M,20-24,C,Otras relaciones no familiares
7600,HD F Cis Trans Travesti-Femicidio,La Rioja,Arauco,6/12/2020,17:00:00,1,1,Domicilio particular,,Domicilio particular,Arma blanca,,No,,F,F,-----------,C,-------,Ama de casa,---------,Ex conyuge / ex pareja,35-39,M,M,35-39,C,Ex conyuge / ex pareja
7601,HD M,Misiones,Guaraní,7/1/2021,7:00:00,1,1,Domicilio particular,,Domicilio particular,SD,,SD,,M,M,-----------,C,-------,Changarín,---------,Empleado,30-34,M,M,70-74,C,Empleador
7602,HD M,Santa Cruz,Lago Argentino,28/12/2020,2:50:00,1,1,Interior de rodados,,Interior de rodados,Arma blanca,,SD,,M,M,-----------,C,-------,Empleado de otros sectores,---------,SD,50-54,M,M,30-34,C,SD
7603,HD M,Jujuy,Palpalá,16/9/2020,19:45:00,1,1,Domicilio particular,,Domicilio particular,Golpes,,No,,M,M,-----------,C,-------,SD,---------,Otras relaciones no familiares,35-39,M,M,15-19,C,Otras relaciones no familiares
7604,HD F Cis Trans Travesti-Femicidio,Jujuy,Palpalá,24/9/2020,21:00:00,1,1,Vía pública,,Vía pública,Golpes,,No,,F,F,-----------,C,-------,SD,---------,Ex conyuge / ex pareja,20-24,M,M,20-24,C,Ex conyuge / ex pareja
7605,HD F Cis Trans Travesti-Femicidio,Jujuy,Palpalá,23/9/2020,22:00:00,2,1,Vía pública,,Vía pública,Ahorcamiento / asfixia,,No,,F,F,-----------,C,-------,Estudiante,---------,No,15-19,M,M,40-44,C,No
7606,HD F Cis Trans Travesti-Femicidio,Jujuy,Cochinoca,8/9/2020,0:00:00,3,1,Vía pública,,Vía pública,Ahorcamiento / asfixia,,No,,F,F,-----------,C,-------,Estudiante,---------,No,20-24,M,M,55-59,SD,No
7607,HD F Cis Trans Travesti-Femicidio,Jujuy,El Carmen,29/9/2020,15:45:00,1,1,Domicilio particular,,Domicilio particular,Ahorcamiento / asfixia,,No,,F,F,-----------,C,-------,Empleado de otros sectores,---------,Conyuge/ pareja,30-34,M,M,40-44,C,Conyuge/ pareja
7608,HD M,Misiones,Capital,9/12/2020,11:30:00,1,1,Vía pública,,Vía pública,Quemaduras,,SD,,M,M,-----------,C,-------,SD,---------,SD,40-44,M,M,35-39,C,SD
7609,HD M,Jujuy,Dr. Manuel Belgrano,17/7/2020,9:30:00,1,1,Domicilio particular,,Domicilio particular,Arma blanca,,No,,M,M,-----------,C,-------,SD,---------,Conyuge/ pareja,20-24,M,M,20-24,C,Conyuge/ pareja
