id_hecho;tipo_hecho;provincia_nombre;departamento_nombre;fecha_hecho;hora_hecho;cant_inculpados;cant_victimas;tipo_lugar;tipo_lugar_otro;tipo_lugar_ampliado;clase_arma;clase_arma_otro;en_ocasion_otro_delito;en_ocasion_otro_delito_otro;victima_sexo;victima_identidad_genero;victima_identidad_genero_otro;victima_clase;victima_clase_otro;victima_situacion_ocupacional;victima_situacion_ocupacional_otro;victima_relacion;victima_edad;inculpado_sexo;inculpado_identidad_genero;inculpado_edad;inculpado_clase;inculpado_relacion
25050;HD F Cis Trans Travesti-Femicidio;Buenos Aires;Esteban Echeverría;13/12/2020;11:11:11;1;1;Domicilio particular;;Domicilio particular;Arma blanca;;No;;F;F;-----------;Civil;-------;Ama de casa;---------;Conyuge/ pareja;55-59;M;M;50-54;Civil;Conyuge/ pareja
25051;HD M;Buenos Aires;General San Martín;14/12/2020;11:11:11;1;1;Interior de rodados;;Interior de rodados;Arma de fuego;;SD;;M;M;-----------;Civil;-------;SD;---------;SD;40-44;SD;SD;SD;SD;SD
25052;HD M;Buenos Aires;Ituzaingó;14/12/2020;11:11:11;2;1;Otro lugar;;Establecimiento laboral;SD;;No;;M;M;-----------;Civil;-------;Empleado de otros sectores;---------;Empleado;50-54;M;M;65-69;Civil;Empleador
25053;HD M;Buenos Aires;Florencio Varela;14/12/2020;11:11:11;1;1;Domicilio particular;;Domicilio particular;Arma blanca;;No;;M;M;-----------;Civil;-------;SD;---------;SD;15-19;M;M;15-19;Civil;SD
25054;HD M;Buenos Aires;Florencio Varela;15/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma de fuego;;No;;M;M;-----------;Civil;-------;SD;---------;Otras relaciones no familiares;15-19;SD;SD;30-34;Civil;Otras relaciones no familiares
25055;HD M;Buenos Aires;San Miguel;15/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma de fuego;;No;;M;M;-----------;Civil;-------;Empleado de otros sectores;---------;SD;25-29;M;M;25-29;Civil;SD
25056;HD M;Buenos Aires;La Plata;16/12/2020;11:11:11;3;1;Vía pública;;Vía pública;Arma de fuego;;No;;M;M;-----------;Civil;-------;Estudiante;---------;Otras relaciones no familiares;30-34;M;M;35-39;Civil;Otras relaciones no familiares
25057;HD M;Buenos Aires;Florencio Varela;16/12/2020;11:11:11;2;1;Domicilio particular;;Domicilio particular;SD;;No;;M;M;-----------;Civil;-------;Empleado de otros sectores;---------;Ex conyuge / ex pareja;65-69;M;M;55-59;Civil;Ex conyuge / ex pareja
25058;HD M;Buenos Aires;Quilmes;18/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma de fuego;;No;;M;M;-----------;Civil;-------;SD;---------;SD;20-24;M;M;40-44;Civil;SD
25059;HD M;Buenos Aires;Quilmes;18/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma blanca;;No;;M;M;-----------;Civil;-------;SD;---------;SD;20-24;SD;SD;SD;SD;SD
