id_hecho;tipo_hecho_segun_victima;provincia_nombre;fecha_hecho;hora_hecho;tipo_lugar;tipo_lugar_otro;tipo_lugar_ampliado;clase_arma;clase_arma_otro;en_ocasion_otro_delito;en_ocasion_otro_delito_otro;victima_sexo;victima_identidad_genero;victima_identidad_genero_otro;victima_tr_edad;victima_mayor;victima_relacion;victima_situacion_ocupacional;inculpado_sexo;inculpado_tr_edad;inculpado_mayor
18764;HD Varón;Santa Fe;20/6/2019;02:40:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Sin determinación;Sin Determinar;No corresponde;No corresponde;Sí
18765;HD Varón;Santa Fe;14/6/2019;17:30:00;Domicilio particular;;Domicilio particular;Objeto contundente;;Sí robo;;No corresponde;Varón;-----------;No corresponde;Sí;Otras relaciones no familiares;No corresponde;No corresponde;No corresponde;Sí
18766;HD Varón;Santa Fe;1/6/2019;19:35:00;Domicilio particular;;Domicilio particular;Arma blanca;;Sí robo;;No corresponde;Varón;-----------;No corresponde;Sí;Sin relación;No corresponde;No corresponde;No corresponde;Sí
18767;HD Varón;Santa Fe;5/6/2019;18:00:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Sin relación;Sin Determinar;No corresponde;No corresponde;Sí
18768;HD Varón;Santa Fe;7/6/2019;19:10:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;Sin determinar;Sin determinar;Sin determinar
18769;HD Varón;Santa Fe;9/6/2019;00:30:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Sin relación;Sin Determinar;No corresponde;No corresponde;Sí
18770;HD Varón;Santa Fe;13/6/2019;16:00:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;No corresponde;Sin determinar;Sin determinar
18771;HD Varón;Santa Fe;14/6/2019;16:40:00;Interior de rodados;;Interior de rodados;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;No corresponde;Sin determinar;Sin determinar
18772;HD Varón;Santa Fe;17/6/2019;06:30:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;Sin determinar;Sin determinar;Sin determinar
18773;HD Mujer Cis Trans Travesti-Otro homicidio;Santa Fe;20/6/2019;20:00:00;Domicilio particular;;Domicilio particular;Objeto contundente;;No fue en ocasión de otro delito;;No corresponde;No corresponde;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;Sin determinar;Sin determinar;Sin determinar
18774;HD Varón;Santa Fe;27/6/2019;17:20:00;Vía pública;;Vía pública;Arma de fuego;;Sí robo;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;Sin determinar;Sin determinar;Sin determinar
18775;HD Varón;Santa Fe;28/6/2019;21:10:00;Vía pública;;Vía pública;Arma de fuego;;Sí robo;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;Sin determinar;Sin determinar;Sin determinar
18776;HD Varón;Santa Fe;29/6/2019;05:15:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Sin relación;Sin Determinar;No corresponde;No corresponde;Sí
18777;HD Varón;Santa Fe;30/6/2019;23:15:00;Comercio;;Comercio;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;No corresponde;Sin determinar;Sin determinar
18778;HD Varón;Santa Fe;2/6/2019;00:50:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Sin determinación;Sin Determinar;No corresponde;No corresponde;Sí
18779;HD Varón;Santa Fe;2/6/2019;20:00:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;Sin determinar;Sin determinar;Sin determinar
18780;HD Mujer Cis Trans Travesti-Femicidio;Santa Fe;4/6/2019;03:50:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;No corresponde;-----------;No corresponde;Sí;No corresponde;Sin Determinar;No corresponde;No corresponde;Sí
18781;HD Varón;Santa Fe;6/6/2019;15:45:00;Vía pública;;Vía pública;Arma blanca;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Sin determinación;Sin Determinar;No corresponde;No corresponde;Sí
